contentid,relaAcdntRiskMtr,acmpyTypeCd,relaPosesFclty,relaFrnshPrdlst,etcAcmpyInfo,relaPurcPrdlst,acmpyPsblCpam,relaRntlPrdlst,acmpyNeedMtr
1019041,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1021339,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1032715,,일부구역 동반가능,,,별도의 쓰레기 처리 시설이 없으므로 배변봉투 지참 및 수거 필수,,"전 견종 출입 가능(맹견의 경우, 입마개 착용 필수)",,목줄 착용
1037031,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1039170,,전구역 동반가능,,,반려동물의 몸이 외부에 노출되면 동반 불가,,이동장(켄넬)에 들어가는 전 견종 동반 가능,,"반려동물 유모차 탑승,이동장(켄넬)사용"
1059479,,전구역 동반가능,,,"목줄은 2m 이내로 유지\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1083960,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1100498,,일부구역 동반가능,,,"실내 시설 입장은 개별 문의 필요\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1115613,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1119452,이용방법 및 규칙 비치,일부구역 동반가능,"펜스,산책로,놀이기구",,반려동물 놀이터엔 동물등록이 완료된 반려견만 입장 가능,,전 견종 동반 가능,,"입마개 착용,목줄 착용"
1125480,,일부구역 동반가능,,,"산림욕장은 동반 가능하나 캠핑장은 동반 불가\n 맹견 및 대형견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1180825,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
1199931,,일부구역 동반가능,,,"동반가능(단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)",,,,
1223212,,일부구역 동반가능,벽화길,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
1238580,,일부구역 동반가능,,배변봉투,입점 브랜드 운영 정책에 따라 동반시 필요사항 상이,점내 편의점 및 마트 등에서 구매 가능,개별 매장 운영 정책에 따라 상이(상세 기준 사전 확인 필요),,"입마개 착용,목줄 착용"
1250885,,,,,가능(점포마다 다름),,,,
125419,없음,,산책로,없음,반려견(15kg 이하),없음,,없음,목줄 착용
125445,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125447,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125469,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125496,,일부구역 동반가능,,,"전기차량 동반 불가(도보로만 이동 가능)\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125514,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125519,,전구역 동반가능,,,배변봉투 지참 및 배변처리 필수,,전 견종 동반 가능,,목줄 착용
125523,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125534,반려견보호자 서약서 서명,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용"
125555,,일부구역 동반가능,,,별도의 쓰레기 처리 시설이 없으므로 배변봉투 지참 및 수거 필수,,"전 견종 출입 가능(맹견의 경우, 입마개 착용 필수)",,목줄 착용
125616,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
125653,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
125681,,전구역 동반가능,반려견 전용 샤워장,,"바다 입수 가능하나 목줄 착용 필수\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125694,,일부구역 동반가능,,,"해수욕장 개장 기간에는 동반이 제한될 수 있음\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
125696,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
125701,,일부구역 동반가능,,,서피비치 주변 해변 구역에서만 반려견 동반 가능\n 배변봉투 지참 및 배변처리 필수,,"동물보호법 시행규칙 제1조 2항에 근거한 맹견품종 제외\n (도사견, 아메리칸 핏불 테리어, 아메리칸 스태퍼드셔 테리어, 스태퍼드셔 불 테리어, 로트와일러 및 그 잡종의 개)",,"목줄 착용,기타"
125702,,일부구역 동반가능,,,"해수욕장 개장 중 D구역에서만 동반 가능\n 바다 입수 불가능\n 배변봉투 지참 및 배변처리 필수\n 맹견의 경우, 입마개 착용 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용"
125711,,일부구역 동반가능,"야영장, 취사대, 샤워장, 주차장, 화장실",,"해수욕장 개장 기간에는 반려견 동반이 제한될 수 있습니다. 반려견 인식표 및 리드 줄, 입마개 필수입니다. 반려견 배변 시 보호자가 배변봉투, 물티슈 등 지참 후 즉시 처리하여야 합니다.\n *반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다.",,,,"입마개 착용,목줄 착용,기타"
125713,,일부구역 동반가능,"장애인 주차장, 장애인 전용 화장실, 수유실(바다민원실)",,"해수욕장 개장 기간에는 반려견 동반이 제한될 수 있습니다. 반려견 인식표 및 리드 줄, 입마개 필수입니다. 반려견 배변 시 보호자가 배변봉투, 물티슈 등 지참 후 즉시 처리하여야 합니다.\n *반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다.",,,,"입마개 착용,목줄 착용,기타"
