contentid,contenttypeid,title,homepage,tel,zipcode,addr1,addr2,areacode,sigungucode,cat1,cat2,cat3,mapx,mapy,mlevel,firstimage,firstimage2,createdtime,modifiedtime,overview,cpyrhtDivCd,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,telname
125683,12,마차진해변,"고성문화관광 <a href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=69"" target=""_blank"" title=""새창 : 고성문화관광 홈페이지로 이동"">https://www.gwgs.go.kr/</a>",,24702,강원특별자치도 고성군 현내면 금강산로 416,,32,2,A01,A0101,A01011200,117.9925663,19.69442748,6,http://tong.visitkorea.or.kr/cms/resource/68/3006868_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3006868_image3_1.jpg,2.00307E+13,2.02508E+13,"통일 안보공원의 동쪽에 위치한 총길이 400m의 조용한 해변이다. 희고 고운 백사장과 육지와 연결된 무송대가 있어 천혜의 절경을 이루는 곳이다. 무송대는 해변에 있는 작은 섬인데 소나무가 울창하다고 해서 이름을 무송대라 한다. 섬을 배경으로 한 일출이 매우 아름답지만 현재는 출입 불가다. 무송대까지 이어지는 해변을 기준으로 두 갈래로 나뉘는 바다에서는 한쪽은 성게, 고동, 소라를 채집할 수 있고 스노클링도 즐길 수 있다. 다른 한쪽은 활처럼 휘어진 해변에서 보트 타기와 수영을 할 수 있다. 해변가에 둥그런 바위가 있는데 영해 기준점이라고 적혀 있다. 이곳을 기준으로 우리나라 영해가 시작된다. 피서객이 많이 없어 한적한 편이며 버스가 이곳 앞의 차고지를 종점으로 하고 있어 대중교통 이용이 쉽다. 또한, 고성 금강산콘도와 민박이 주변에 있어 숙박이 편리하고 통일전망대에 인접해 있어 금강산을 볼 수 있다.",Type3,51,820,NA,NA02,NA020900,
125684,12,아야진해변,"<a href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=80"" target=""_blank"" title=""새창 : 고성군 문화관광 홈페이지로 이동"">https://www.gwgs.go.kr</a>",,24756,강원특별자치도 고성군 토성면 아야진해변길 157,(토성면),32,2,A01,A0101,A01011200,128.5527871,38.27657883,6,http://tong.visitkorea.or.kr/cms/resource/82/3516882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3516882_image3_1.jpg,2.00307E+13,2.02508E+13,"아야진해변은 주변경관이 수려한 곳으로, 크고 작은 바위와 맑은 바다, 깨끗한 백사장이 어울려 가족단위 피서지로 적합한 해변이다. 고운 모래가 깔려있고, 수심이 해변에서 30m까지는 1.5m~2m 정도로 안전하게 수영할 수 있어 매년 군부대와의 협의로 한시적으로 운영되고 있다. 또, 낚시와 함께 수영을 즐길 수 있어 해마다 찾는 피서객이 증가하고 있다.",Type1,51,820,NA,NA02,NA020900,
125686,12,천진해변,"<a href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_12/view.do?cntno=81"" target=""_blank"" title=""새창 : 천진해변 홈페이지로 이동"">https://www.gwgs.go.kr</a>",,24764,강원특별자치도 고성군 토성면,아야진리,32,2,A01,A0101,A01011200,128.5606703,38.25703404,6,http://tong.visitkorea.or.kr/cms/resource/60/3517260_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3517260_image3_1.jpg,2.00307E+13,2.02508E+13,"속초시에서 북으로 4㎞, 7번 국도 옆에 위치해 있으며 천진항과 인접하여 초승달 모양의 해안선을 따라 백사장이 펼쳐져 있는 곳이다. 1972년 개장된 이래 매년 해변과 백사장이 사계절 운영되고 물이 맑고 청정할 뿐 아니라 백사장이 깨끗하다. 해변은 전체적으로 얕은 편이고 파도가 잔잔하여 아이들이 놀기에 좋은 해변이다. 수심이 낮아 가족단위와 젊은이들의 피서지로 각광받는 곳으로 매년 오징어 잡기 대회가 열린다. 천진항 포구에서 생산되는 싱싱한 활어회를 즐길 수 있고 방파제에서는 바다낚시를 즐길 수 있다. 전체적으로 얕은 편이고 파도가 잔잔하여 아이들이 놀기에 좋은 해변이다. 이곳은 어르신들이 민박형태로 운영하는 곳이 많아 전화로 숙박을 예약하는 것이 빠르다.",Type1,51,820,NA,NA02,NA020900,
125692,12,봉포해변,"<a href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=76"" target=""_blank"" title=""새창 : 고성군 문화관광 홈페이지로 이동"">https://www.gwgs.go.kr</a>",,24765,강원특별자치도 고성군 토성면,봉포리,32,2,A01,A0101,A01011200,128.5661727,38.25249856,6,http://tong.visitkorea.or.kr/cms/resource/36/3516836_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3516836_image3_1.jpg,2.00307E+13,2.02508E+13,"봉포해변은 속초 시청 북쪽으로 3㎞에 위치해 있으며 작은 포구를 중심으로 한 간이 해수욕장으로 지정되어 있다. 물이 맑고 사질이 고우며, 특히 어족이 풍부해 방파제에서는 연중 바다낚시를 할 수 있고 해수욕을 즐길 수 있어 여름 피서지로 각광받는 곳이다. 해수욕장 주변에 넓게 펼쳐진 소나무 숲에서 산림욕 또한 즐길 수 있다. 인근에 다양한 숙박시설과 음식점들이 있어 관광하기 좋은 해변이다. 특히 봉포항구에서 생산되는 싱싱한 활어회를 맛볼 수 있다.",Type1,51,820,NA,NA02,NA020900,
125706,12,화진포(강원평화지역 국가지질공원),"강원평화지역 국가지질공원 <a href=""http://www.koreadmz.kr/""target=""_blank"" title=""새창: 강원평화지역 국가지질공원"">http://www.koreadmz.kr/</a><br />화진포해수욕장 <a href=""http://hwajinpobeach.co.kr/""target=""_blank"" title=""화진포해수욕장"">http://hwajinpobeach.co.kr/</a>",,24710,강원특별자치도 고성군 거진읍 현내면,,32,2,A01,A0101,A01010500,128.4391216,38.47884469,6,http://tong.visitkorea.or.kr/cms/resource/63/3029063_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3029063_image3_1.jpg,2.00402E+13,2.02507E+13,"화진포는 남한에서 가장 넓은 면적의 석호로 화진포 해변부근의 사취(沙嘴, spit : 파랑과 연안류의 작용으로 만의 입구에 형성되는 새부리 모양의 모래톱) 발달로 인하여 만의 입구가 막히면서 형성되었다. 석호는 후빙기(後氷期, post-glacial age)해수면 상승으로 해안이 침수되어 만이 형성되고, 그 입구가 사주(沙柱, sand bar : 파랑과 연안류의 작용으로 해안에 연이어 형성된 모래더미)나 사취로 가로막혀서 발달하게 된 지형이다. 이는 기후변화가 특징적이었던 신생대 제4기를 대표하는 지형이다. 또한 석호는 바다와 육지를 연결하는 생태통로로 중요한 가치를 지니고 있다. 민물과 바닷물의 교류가 빈번하여 해양생물과 민물생물이 함께 살아갈 수 있는 독특한 자연환경 특성을 지니고 있어 높은 보존 가치를 지니고 있다. 화진포의 형태는 8자형으로 남호와 북호로 구분되며, 크기는 남호가 더 크고, 바다와 통하는 물길은 북호에 위치한다. 화진포는 호수의 주변으로 해당화가 많았다는 데에서 이름이 유래하였다. 일대는 10여 년 전 인기리에 방영되었던 드라마 ‘가을동화’의 마지막 장면을 촬영한 곳으로도 널리 알려져 있다. 주변 관광지는 김일성 별장, 이승만 별장, 이기붕 별장이 있다.",Type3,51,820,NA,NA04,NA040400,
125714,12,거진1리해변,"<a title=""새창 : 고성군청 문화관광 홈페이지로 이동"" href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_12/view.do?cntno=62"" target=""_blank"">https://www.gwgs.go.kr/tour</a>",,24712,강원특별자치도 고성군 거진읍 거진1리,(거진읍),32,2,A01,A0101,A01011200,128.4547464,38.44084943,6,,,2.00307E+13,2.02503E+13,"거진항 북쪽에 위치한 조용한 해변으로 앞바다의 백섬과 주변의 기암괴석으로 절경을 이루고 있다. 1988년 7월 10일 개장된 이후 매년 군부대의 협조를 얻어 한시적으로 운영되고 있다. 백섬은 거진1리 해변에 있는 작은 섬으로 육지에 인접한 무인도이고 백섬이라는 이름은 갈매기 배설물로 하얗게 보인다 하여 붙여진 이름이다. 육지와 백섬을 연결하는 약 100m 길이의 해상 테크가 조성되어 있다. 해변은 150m의 자갈밭이고 바닷물 속의 풍부한 해산물은 피서와 함께 즐길거리를 제공하여 가족단위 피서객이 많이 찾는 곳이기도 하다. 이곳은 다른 해변과 달리 백사장으로 이루어진 해변이 아닌 자갈밭과 바위로 구성된 해변이므로 해수욕을 즐길 때 안전에도 유의해야 한다. 이곳에서 가까운 거진항에서는 싱싱한 활어회를 맛볼 수 있다. 거진항 방파제와 백섬은 주로 돔, 가자미, 노래미, 숭어, 황어 등이 낚이는 바다 낚시터이다.",,51,820,NA,NA02,NA020900,
125715,12,교암해변,"고성 문화관광 <a href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=66""target=""_blank"" title=""새창: 고성 문화관광 홈페이지로 이동"">https://www.gwgs.go.kr</a>",,24755,강원특별자치도 고성군 토성면 천학정길 37,,32,2,A01,A0101,A01011200,128.5466038,38.29165751,6,http://tong.visitkorea.or.kr/cms/resource/81/3070081_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3070081_image3_1.jpg,2.00307E+13,2.02508E+13,교암리 해수욕장은 금강산의 제1해수욕장이라고 하는데 길이 1㎞의 백사장은 경사가 완만하고 모래질이 좋다. 교암항 방향으로 방파제 너머 산 아래 솔숲에는 천학정이 있고 남쪽 3㎞ 거리엔 관동팔경 중의 하나인 청간정이 있어 해수욕과 함께 뛰어난 자연경관도 즐길 수 있다. 근처 문암항에서 교암해변 방향을 바라보면 해변 너머 설악산과 울산바위가 파노라마 사진처럼 멋진 자태를 뽐내고 있다. 해안의 유영폭이 좁아 수영 한계선을 넘지 않도록 유의하여야 한다. 해안도로와 연접한 곳에 위치한 곳으로 주변에 스킨스쿠버를 운영하는 레포츠사가 있고 해저의 아름다움을 만끽할 수 있는 스킨스쿠버 다이빙을 즐길 수 있는 곳이기도 하다.,Type3,51,820,NA,NA02,NA020900,
125739,12,장신유원지,"<a href=""https://cafe.naver.com/sottong0 ""target=""_blank"" title=""새창: 소똥령마을"">https://cafe.naver.com/sottong0</a>",,24741,강원특별자치도 고성군 간성읍 소똥령마을길 32,(간성읍),32,2,A02,A0203,A02030100,128.3782457,38.33095799,6,http://tong.visitkorea.or.kr/cms/resource/78/3515778_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3515778_image3_1.jpg,2.00308E+13,2.02508E+13,"장신유원지는 진부령 정상에서 내려오는 오염되지 않은 깨끗한 물과 주위의 산, 계곡, 하천이 어우러진 자연 발생 유원지이며, 가족단위 관광객이 많이 찾는 곳이다. 진부령에 여러 계곡이 있지만 유원지로 개방된 구간은 이곳뿐이다. 여름철 동해와 함께 진부령계곡의 맑은 물을 함께 찾는 피서객이 계속 늘어나자 고성군에서는 1990년 계곡 주변을 비지정 관광지로 지정하고 야영장과 주차장, 화장실 등을 갖추어 마을에서 자체적으로 운영, 관리하도록 위탁했다. 장신유원지는 계곡을 중심으로 일반 관광객이 이용할 수 있는 게스트하우스, 캠핑장, 주민이 운영하는 펜션 등이 있고 20인 이상 단체 예약 시 이용 가능한 농촌체험과 향토식당 등을 운영한다. 그중 캠핑장은 당일 이용 가능한 일반노지캠핑구역, 벚나무군락지에 오토캠핑이 가능한 A구역, 소나무군락지와 계곡 옆에 위치한 일반캠핑 B구역으로 구성되어 있다.",Type1,51,820,VE,VE04,VE040200,
125752,12,화암사(고성),"<a href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_08/view.do?cntno=57"" target=""_blank"" title=""새창 : 고성문화관광 사이트로 이동"">https://www.gwgs.go.kr</a>",,24767,강원특별자치도 고성군 토성면 화암사길 100,,32,2,A02,A0201,A02010800,128.4693434,38.22698854,6,http://tong.visitkorea.or.kr/cms/resource/19/3016719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3016719_image3_1.jpg,2.0031E+13,2.02509E+13,"화암사는 강원도 고성군 신평리에 위치한 사찰로, 신라 제36대 혜공왕 5년(769년)에 진표율사에 의해 창건되었다. 이후 여러 차례 화재로 소실과 재건을 반복하였다. 조선 인조 1년(1623)에 소실되었으나, 인조 3년(1625)에 다시 중창되었으며, 고종 1년(1864)에는 지금의 위치인 수바위 아래로 옮겨 지으면서 이름도 '수암사(穗岩寺)'로 바뀌었다. 이후 1912년에 다시 ‘화암사(禾岩寺)’로 이름이 변경되었다. 한국전쟁 중 다시 한 차례 화재로 소실되었고, 이후 법당만 복원되었다. 1991년 세계잼버리대회를 준비하면서 기존 건물을 철거하고 전면적으로 재건축하여 오늘에 이르고 있다. 현재 화암사에는 일주문, 대웅전, 삼성각, 명부전, 요사채 등의 건물이 있으며, 조선 후기에 조성된 것으로 보이는 부도군(浮屠群)과 일부 계단석도 남아 있다. 이 절에는 정조가 하사한 관음보살상 6첩 병풍이 전래되었으나, 해방 이후의 행방은 알 수 없다. 또한, 죽암당 부도를 포함해 15기의 부도와 진표당의 진영을 비롯해 총 16점의 진영이 있었다는 기록이 전해진다. 사찰은 신선봉 자락의 청정한 화암골에 자리하고 있으며, 수바위와 울산바위 등 주변 경관이 수려하다. 인근에는 신선봉, 세계잼버리장, 콘도미니엄 등이 밀집해 있어 둘러볼 곳이 많다. 또한, 사찰 내 전통 찻집이 있어 조용한 산사에서 전통차를 즐기는 것도 특별한 경험이 될 수 있다.",Type3,51,820,HS,HS03,HS030100,
125796,12,청간정,"고성군 문화관광 <a href=""https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_01/view.do?cntno=16"" target=""_blank"" title=""새창 : 고성군 문화관광 홈페이지로 이동"">https://www.gwgs.go.kr</a><br>청간정 <a href=""http://cheongganjeong.co.kr/"" target=""_blank"" title=""새창: 청간정 홈페이지로 이동"">http://cheongganjeong.co.kr/</a>",,24758,강원특별자치도 고성군 토성면 동해대로 5110,,32,2,A02,A0201,A02010700,128.5583925,38.26446646,6,,,2.00205E+13,2.02411E+13,"청간정은 기암절벽 위에 팔작지붕의 중층누정으로 아담하게 세워져 있다. 조선시대의 정자로 관동팔경의 하나이다. 처음 지은 연대는 알 수 없으나, 1520년(중종 15)에 군수 최청이 고쳐 세웠다는 기록으로 보아 그 이전에 세워진 것으로 생각된다. 1884년(고종 21) 갑신정변 때 불타 없어졌다가 1928년에 다시 지은 것이다. 정자의 규모는 앞면 3칸, 옆면 2칸의 규모이다. 추녀 밑에 걸린 청간정(淸澗亭) 현판은 1953년 故 이승만 대통령이 친필로 쓴 것이다. 청간정의 아름다운 주위 풍광으로 관동팔경의 하나로 손꼽혀 예부터 시인들의 발길이 끊이지 않는 곳이며, 노송 숲 사이로 뚫린 오솔길을 지나 탁 트인 동해를 굽어보는 정취가 그윽하다.",,51,820,HS,HS01,HS011200,
