contentid,originimgurl,imgname,smallimageurl,cpyrhtDivCd,serialnum
125683,http://tong.visitkorea.or.kr/cms/resource/67/3006867_image2_1.jpg,마차진해변 (1),http://tong.visitkorea.or.kr/cms/resource/67/3006867_image3_1.jpg,Type3,3006867_3
125683,http://tong.visitkorea.or.kr/cms/resource/69/3006869_image2_1.jpg,마차진해변 (3),http://tong.visitkorea.or.kr/cms/resource/69/3006869_image3_1.jpg,Type3,3006869_1
125683,http://tong.visitkorea.or.kr/cms/resource/70/3006870_image2_1.jpg,마차진해변 (4),http://tong.visitkorea.or.kr/cms/resource/70/3006870_image3_1.jpg,Type3,3006870_2
125683,http://tong.visitkorea.or.kr/cms/resource/72/3006872_image2_1.jpg,마차진해변 (6),http://tong.visitkorea.or.kr/cms/resource/72/3006872_image3_1.jpg,Type3,3006872_4
125684,http://tong.visitkorea.or.kr/cms/resource/83/3516883_image2_1.jpg,고성_아야진해변 (2),http://tong.visitkorea.or.kr/cms/resource/83/3516883_image3_1.jpg,Type1,3516883_1
125684,http://tong.visitkorea.or.kr/cms/resource/84/3516884_image2_1.jpg,고성_아야진해변 (3),http://tong.visitkorea.or.kr/cms/resource/84/3516884_image3_1.jpg,Type1,3516884_4
125684,http://tong.visitkorea.or.kr/cms/resource/85/3516885_image2_1.jpg,고성_아야진해변 (4),http://tong.visitkorea.or.kr/cms/resource/85/3516885_image3_1.jpg,Type1,3516885_5
125684,http://tong.visitkorea.or.kr/cms/resource/86/3516886_image2_1.jpg,고성_아야진해변 (5),http://tong.visitkorea.or.kr/cms/resource/86/3516886_image3_1.jpg,Type1,3516886_7
125684,http://tong.visitkorea.or.kr/cms/resource/87/3516887_image2_1.jpg,고성_아야진해변 (6),http://tong.visitkorea.or.kr/cms/resource/87/3516887_image3_1.jpg,Type1,3516887_2
125684,http://tong.visitkorea.or.kr/cms/resource/88/3516888_image2_1.jpg,고성_아야진해변 (7),http://tong.visitkorea.or.kr/cms/resource/88/3516888_image3_1.jpg,Type1,3516888_3
125684,http://tong.visitkorea.or.kr/cms/resource/89/3516889_image2_1.jpg,고성_아야진해변 (8),http://tong.visitkorea.or.kr/cms/resource/89/3516889_image3_1.jpg,Type1,3516889_6
125686,http://tong.visitkorea.or.kr/cms/resource/61/3517261_image2_1.jpg,고성_천진해변 (2),http://tong.visitkorea.or.kr/cms/resource/61/3517261_image3_1.jpg,Type1,3517261_5
125686,http://tong.visitkorea.or.kr/cms/resource/62/3517262_image2_1.jpg,고성_천진해변 (3),http://tong.visitkorea.or.kr/cms/resource/62/3517262_image3_1.jpg,Type1,3517262_1
