contentid,contenttypeid,subnum,subcontentid,subname,subdetailoverview,subdetailimg,subdetailalt
1846297,25,0,128749,거진항(해맞이공원),거진항은 38도선 이북(북위 38˚ 26')에 위치한 건설부지정 제2종 항만이다. 접적지구라는 입지적인 조건 등으로 오지 어촌으로만 여겨왔던 이곳은 지난 1973년 거진면이 읍으로 승격되면서 항구 주변에 현대식 고층건물이 들어서 상업도시로 면모를 갖추어 동해북부 어업전진기지로 성장해 가고 있다.,,거진항_01
1846297,25,1,125706,화진포해변,"천연 석호와 울창한 솔숲이 절묘하게 어우러진 화진포해변. 공식 해수욕장으로는 동해안에서 가장 북쪽에 자리잡은 해수욕장이다. 백사장 길이는 1.7km, 평균 수심은 1~1.5m 정도이다. 주변에 울창한 소나무숲, 맑은 호수, 기암괴석 등이 잘 어우러져 있어서 자연 풍광이 수려하다.",http://tong.visitkorea.or.kr/cms/resource/10/1813110_image2_1.jpg,강원도_고성_화진포(바다낚시)03
1846297,25,2,529493,화진포의 성,"화진포의 성(김일성별장)이 세워진 연도는 정확히 알려져 있지 않다. 다만 김일성은 1948년부터 50년까지 처 김정숙, 아들 김정일, 딸 김경희 등 가족과 함께 하계휴양지로 화진포를 찾았다.",http://tong.visitkorea.or.kr/cms/resource/33/571633_image2_1.jpg,화진포의 성(김일성별장)_04
1846297,25,3,625005,점심식사(거진항 제비호식당),고성 최북단에 위치한 제비호식당은 고성8미중에 하나인 생태찌게를 맛볼 수 있는 곳이다. 가까운 곳에 화진포해수욕장이 위치해 있고 통일 전망대 또한 지근 거리에 위치해 있어 아이들에게 안보관광까지 할 수 있는 곳이다.<br/> * 문의/안내 : 033-682-1970,,제비호식당_01
1846297,25,4,529498,"이기붕, 이승만 별장","강원도 고성군 화진포에는 세 명의 옛정치인의 별장이 나란히 놓여있다. 김일성 별장, 이승만 별장, 이기붕 별장. 이승만 별장은 대한민국 초대 대통령인 이승만이 머물렀던 곳으로 1954년에 신축된 뒤 1061년에 폐허가 되었다가 1999년 전시관으로 복원되었다. 소박하고 단출하지만 별장 안에서 밖을 바라보면 주변의 울창한 송림과 한데 어우러진 화진포의 두 개의 호수가 한눈에 보이는 까닭에 화진포의 세 별장 중 가장 경치가 뛰어나다는 평을 받고 있다.",http://tong.visitkorea.or.kr/cms/resource/32/1906632_image2_1.jpg,강원_고성_화진포04 (이기붕 별장)
1846297,25,5,778140,DMZ박물관,"DMZ박물관은 남북한 평화와 안정을 바라는 전 국민의 염원을 담아 동해안 최북단인 군사분계선과 근접한 민통선 내에 있다. 지구 상에 남아 있는 유일한 분단국의 상징인 DMZ를 통하여 지난 1950년 한국전쟁 발발 전후 모습과, 휴전협정으로 탄생한 휴전선이 갖는 역사적인 의미, 이로 인해 나타난 동족 간 이산의 아픔, 지속되는 군사적인 충돌, 60여 년간 사람의 손길이 닿지 않아 원형 그대로 보존되어 있는 생태환경 등을 전시물이나 영상물로 재구성하였다.",,강원_고성_DMZ박물관02
1846297,25,6,128171,통일전망대,"휴전선과 남방한계선이 만나는 해발 70m 고지의 통일전망대에 서면 금강산의 구선봉과 해금강이 지척에 보이고 맑은 날에는 옥녀봉, 채하봉, 일출봉 등을 볼 수 있다. 발 아래의 휴전선철책을 사이에 두고 대치해 있는 최전방 초소는 남북한의 긴장감을 느끼게 한다. 발 아래에는 2004년 12월 개통된 동해선 남북연결도로로 금강산육로 관광이 이루어지는 모습을 볼 수 있다.",,강원_고성_통일전망대02
1853384,25,0,125752,화암사,"화암사는 신평리의 세계잼버리장에서 1.5㎞ 떨어진 곳에 소재하고 있으며 신라 36대 혜공왕 5년에 진표율사에 의하여 창건되었다. 이 절에는 관음보살상6첩서병이 정조의 하사품으로 전래하였으나 해방 후 어떻게 되었는지 알 수 없고 죽암당 부도를 비롯하여 15기의 부도가 있고 진표당의 진영을 비롯하여 16점의 진영이 있었다는 기록이 있다. 신선봉 자락에 위치해 있는 깨끗한 화암골을 비롯해 수바위, 울산바위 등 주변경관이 빼어나다.",http://tong.visitkorea.or.kr/cms/resource/98/217598_image2_1.jpg,화암사_06
1853384,25,1,125796,청간정,"토성면 청간리 동해안 산록에 있는 청간정(淸澗亭)은 설악산 골짜기에서 흘러내리는 청간천과 만경청파가 넘실거리는 기암절벽 위에 팔각지붕의 중층누정으로 아담하게 세워져 있으며, 이곳에서 바라보는 일출과 월출시의 장엄함과, 밀려오는 파도가 마치 뭉게 구름이 일다가 안개처럼 사라져 가는 황홀경으로 관동팔경중 수일경으로 손꼽히고 있다.",http://tong.visitkorea.or.kr/cms/resource/20/176120_image2_1.jpg,청간정8
1853384,25,2,125684,아야진해변,"속초에서 북으로 6km, 국도 7번에서 약 500m 들어가는 이곳은 주위경관이 수려해 해마다 찾는 피서객이 증가하고 있으며, 크고 작은 바위와 맑은 바다, 깨끗한 백사장이 어울려 가족단위 피서지로 적합한 곳이다. 백사장 길이 600m, 폭 50m에 수심은 해변에서 30m까지는 1.5~2m이다. 이곳에서는 이른 아침 싱싱한 오징어를 싸게 구입할 수 있어 일부러 이곳을 찾는 이들의 발길이 늘고 있다.",,아야진간이해수욕장_01
1853384,25,3,126791,문암포구,"문암리 포구는 작은 포구이지만, 뒤에 기암 괴석이 바다로 뻗어나와 있고 한적한 어촌의 정취를 느낄수 있다. 문암포구의 능파대 위에서 맞는 일출은 동해안의 어느 해변 못지 않게 아름답다. 조용한 아침의 일출을 감상하기 위해 문암 포구를 찾는 것도 좋을 듯하다.",http://tong.visitkorea.or.kr/cms/resource/65/174965_image2_1.jpg,문암포구_00
1853384,25,4,126795,어명기 가옥,"이 가옥은 1500년대에 처음 세워진 이래, 1750년대에 소실된 것을 3년 만에 다시 건립한 것이다. 현주인 어명기의 조부 어용수 선생이 1860년대에 능토 991.74m²(300평)을 주고 구입해 오늘에 이른다. 북방식과 강릉지방의 영향을 받은 영북지방의 대표적인 전통 건조물로 학술적 가치가 매우 높은 것으로 평가받고 있다.",,
1853384,25,5,125804,왕곡마을,"송지호 북쪽에 들어선 왕곡 전통마을은 강원도 북부해안 지방으로 피서여행을 갈 때 꼭 한번 들러볼만한 곳이다. 해변과의 거리는 불과 1.5km인데 묘하게도 마을에서는 파도소리를 들을 수 없다. 오음산, 두백산, 공모산, 순방산, 제공산 등 다섯 봉우리로 이루어진 산들이 마을 둘레를 에워싸고 있기 때문이다. 이처럼 산들이 에워싸고 있는 덕에 한국전쟁 때에도 대부분의 집들은 폭격을 피할 수 있었다. 그리하여 오늘날까지도 고택들이 고스란히 보존되어 전통마을 분위기를 잘 간직하게 된 것이다.",http://tong.visitkorea.or.kr/cms/resource/16/175016_image2_1.jpg,왕곡마을_메인
1853384,25,6,925616,송지호철새관망타워,"이곳은 송지호에 날아드는 철새들을 관찰할 수 있어 훌륭한 자연생태학습관으로 사용되고 있다. 총 89종 240여 점의 박제를 전시한 조류박제전시관, 송지호를 한눈에 조망할 수 있는 옥외전망대, 망원경이 설치된 전망타워 등을 갖추고 있으며, 내부에 천연기념물 제201호인 고니가 송지호로 날아오는 모습을 형상화하여 자연의 아름다움을 표현하였다.",,고성 송지호철새관망타워 (10)
1853385,25,0,128412,소똥령마을 체험,"진부령 초입에 자리잡고 있는 마을로, 토종벌을 치며 송이를 비롯한 각종 산버섯과 나물 등을 재배한다. ‘소똥령’으로 불리는 마을 고개의 이름에는 재미있는 이야기가 전해 내려온다. 이 고개는 옛날 국도 1번지에 해당하는 길목에 위치하여 사람들의 왕래가 잦았으며, 선비가 개나리 봇짐을 메고 한양으로 과거시험을 보러 가던 길이었다고 한다.",,소똥령마을_02
1853385,25,1,127228,건봉사,건봉사는 진부령과 거진읍 중간에 위치한 고찰이다. 야트막한 기와담으로 둘러친 건봉사에는 50여 기에 달하는 부도와 탑비가 있다. 원래 건봉사에는 2백개가 넘는 부도와 탑비가 흩어져 있었으나 한국전쟁 이후 많이 분실되었고 이를 더 이상 방관할 수 없어 현위치에 부도전을 조성하였다. 건봉사는 금강산이 시작되는 초입에 위치해 있어서 특별히 '금강산 건봉사'로 불리우고 있다.,http://tong.visitkorea.or.kr/cms/resource/77/573577_image2_1.jpg,강원 고성 건봉사01
