contentid,contenttypeid,serialnum,infoname,infotext,fldgubun
134479,39,0,화장실,"있음 (남/녀개별, 업소 내부 위치)",1
2514823,39,0,화장실,있음,1
2514832,39,0,화장실,있음,1
2568287,39,0,화장실,있음,1
2569453,39,0,화장실,있음,1
2570687,39,0,화장실,"있음 (남/녀 구분, 업소 내 위치)",1
2657225,39,0,부대시설,,1
2774691,39,0,화장실,남/녀 화장실,1
2782584,39,0,화장실,있음,1
2782917,39,0,화장실,있음,1
2809044,39,0,부대시설,단체석 / 유아의자 / 무선인터넷,1
2809044,39,1,화장실,남/녀 화장실 구분,1
2837865,39,0,화장실,남녀구분,1
2837878,39,0,화장실,있음,1
2837896,39,0,화장실,있음,1
2839753,39,0,화장실,있음,1
2839772,39,0,화장실,있음 (남/녀 구분),1
2839772,39,1,장애인 편의시설,장애인 편의시설,1
2874225,39,0,화장실,있음,1
2874249,39,0,화장실,있음 (남/녀 구분),1
2874262,39,0,화장실,있음,1
2874389,39,0,화장실,있음 (남/녀 구분),1
2929455,39,0,화장실,남녀 구분,1
2929467,39,0,화장실,남녀 구분,1
2929467,39,1,부대시설,놀이방,1
2946633,39,0,부대시설,단체석 / 유아의자,1
3537626,39,0,화장실,있음,1
624805,39,0,화장실,있음,1
624841,39,0,화장실,"남녀개별 / 업소 내, 외부 위치",1
624888,39,0,부대시설,,1
624962,39,0,화장실,있음,1
625005,39,0,화장실,있음,1
686401,39,0,부대시설,,1
