contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard
125683,12,0,0,0,현내면사무소 033-680-3630,,연중무휴,,,,,- 일반해변 06:00~24:00 <br> - 마을관리해변 06:00~22:00<br> ※ 군작전 지역으로 22시 이후 들어갈 수 없음,가능,,,
125684,12,0,0,0,033-680-3356,,연중무휴,,,"2,400명",,상시 개방,가능,,,
125686,12,0,0,0,033-680-3356,,,,,,,[하절기 (7~8월)]<br /> - 일반해변 06:00~24:00<br> - 마을관리해변 06:00~22:00,"가능(소형 159대)<br>요금(당일 5,000원)",,,
125692,12,0,0,0,033-680-3356,,연중무휴,,,,,상시 개방,가능,,,
125706,12,0,0,0,033-680-3677<br> 033-680-3337,,연중무휴,,,,,[매년 7~8월 일반해변]<br> 06:00~24:00 <br> [마을관리해변]<br> 06:00~22:00,가능 (소형 약 100대 / 버스 약 10대)<br>요금 (무료),,,
125714,12,0,0,0,,,연중무휴,,,,,상시 개방,가능 (소형 약 42대),없음,,없음
125715,12,0,0,0,,,연중무휴,,,,,[하절기 7~8월]<br> - 일반해변 06:00~24:00<br> - 마을관리해변 06:00~22:00,가능,,,
125739,12,0,0,0,033-681-8126,,개장기간 이외의 날,,,,,,가능,,,
125752,12,0,0,0,033-633-1525,,연중무휴,,,,,연중무휴,"가능<br>요금 (승용차 4,000원 버스 10,000원)",,,
125796,12,0,0,0,고성군 관광문화과 033-680-3368,,연중무휴,,,,,연중무휴,가능<br>요금(무료),불가,,없음
125804,12,0,0,0,033-631-2120,,연중무휴,,,,,숙박 14:00~익일 11:00,가능<br>요금 (무료),없음,,없음
126691,12,0,0,0,033-680-3356,,,,,,,[하절기(7월~8월)]<br> - 일반해변 06:00~24:00<br> - 마을관리해변 06:00~22:00,가능 (약 소형 152대),,,
126727,12,0,0,0,,1988년 07월 10일,연중무휴,,,,,,"가능(협소,야영장과 같은 장소)<br>요금(1일 5000원)",없음,없음,없음
126776,12,0,0,0,고성군청 관광과 033-680-3356,,연중무휴,,,,,[하절기 7월~8월]<br> - 일반해수욕장 06:00~24:00<br> - 마을관리해수욕장 06:00~22:00,가능,,,
126777,12,0,0,0,,,,,,,,매년 하절기 7~8월<br /> 일반해변 06:00~24:00<br>마을관리해변 06:00~22:00,가능(초도항길 도로변 소형 20대),없음,없음,없음
126778,12,0,0,0,,,,,,,,매년 하절기 7~8월<br /> 일반해변 06:00~24:00 <br> 마을관리해변 06:00~22:00,가능(소형 18대)<br>요금(무료),없음,,없음
126784,12,0,0,0,,1983년 07월 10일,,,,,,하절기 7~8월<br> - 일반해변 06:00~24:00<br> - 마을관리해변 06:00~22:00,가능,,,
126785,12,0,0,0,033-680-3358,,,,전 연령,,매년 하절기 7~8월,09:00~18:00,가능,,,
126787,12,0,0,0,,,연중무휴,,,"10,000명",,상시 개방,가능(소형 약 60대),없음,,없음
126788,12,0,0,0,고성군청 관광과 033-680-3356,,연중무휴,,,,,상시 개방,가능,,,
