contentid,contenttypeid,distance,schedule,taketime,theme
1846297,25,25km,기타,7시간,----지자체-----
1853384,25,30km,기타,6시간 30분,----지자체-----
1853385,25,13km,기타,6시간,----지자체-----
1968096,25,63.68km,기타,1일,----지자체-----
1979622,25,13.86km,기타,1박 2일,----지자체-----
2514914,25,25km,기타,,----지자체-----
2514924,25,27.63km,기타,,----지자체-----
2514954,25,30km,기타,,----지자체-----
2514956,25,,기타,,----지자체-----
2514959,25,26km,기타,,----지자체-----
2514964,25,18.1km,기타,,----지자체-----
2568614,25,125㎞,기타,약 3시간,----지자체-----
2569553,25,24.26km,기타,약 1시간,----지자체-----
2569693,25,79.49km,기타,약 2시간,----지자체-----
2569741,25,12.04km,기타,약 20분,----지자체-----
2569759,25,9.32km,기타,2일,----지자체-----
2569829,25,31.58km,기타,2일,----지자체-----
2807088,25,36.1km,3박이상,3박이상,자연여행
2987544,25,약 100km,당일,약 2시간,자연여행
