contentid,contenttypeid,openperiod,reservation,infocenterleports,scaleleports,accomcountleports,restdateleports,usetimeleports,usefeeleports,expagerangeleports,parkingleports,parkingfeeleports,chkbabycarriageleports,chkpetleports,chkcreditcardleports
131068,28,,,033-680-3677,,,연중무휴,상시 개방,,,가능,,,,
131169,28,,전화 문의 033-633-8107~8,강원도 세계잼버리 수련장 033-633-8107~8,,,연중무휴,,,,가능,,,,
131517,28,,,1644-0063,,,연중무휴,월별 상이하므로 홈페이지 참조,,,가능,,없음,,없음
131781,28,,,033-636-9562,,,연중무휴,09:00~18:00 (휴게시장 12:00~13:00),,,가능 <br>요금 (무료),,없음,,없음
131865,28,,,1577-6399,,,연중무휴,예약별 상이,,,가능,,없음,,없음
2606186,28,,"홈페이지 예약(두루누비, 디엠지기)",평화의 길 고객센터 1588-7417 (평일 09:00 ~ 18:00),,회차별 20명 정,"월요일, 목요일",[회차 출발 시간] 오전 10:00 / 오후 14:00,,만7세이상,"주차가능(소형 310대/대형 10대)<br>요금(통일전망대 주차료 : 승용 5,000원/대형(11인승 이상) 6,000원)",,불가,,가능
2702441,28,,"<a href=""http://ayajinfishing.com"" target=""_blank"" title=""새창: 무지개배낚시 홈페이지로 이동"">http://ayajinfishing.com</a>",010-5694-1230,,,연중무휴,06:00~19:30,,,가능,,없음,,없음
2727232,28,,,0507-1411-3332,,,연중무휴,- 입실 14:00<br>- 퇴실 11:00,,,가능,,,,
2729401,28,,,010-2176-0743,,,연중무휴,- 입실 14:00 <br>- 퇴실 11:00,,,가능,,,,
2729960,28,,,02-2027-4745,,,연중무휴,[성수기]<br>- 입실 15:00<br>- 퇴실 11:00<br>[비수기]<br>- 입실 14:00<br>- 퇴실 11:00,,,가능,,,,
2734062,28,,,010-4097-0803,,,,- 입실 13:00<br>- 퇴실 11:00,,,가능,,,,
2734070,28,,,033-681-4279,,,연중무휴,- 입실 15:00<br>- 퇴실 11:00,,,가능,,,,
2744533,28,"봄,여름,가을,겨울","<a href=""https://www.yanolja.com/guest-house/1000108391?checkinDate=2021-09-10&checkoutDate=2021-09-11&capacityAdult=2&capacityChild=0"" target=""_blank"" title=""새창 : 말보로맨오토캠핑장 예약 사이트로 이동"">https://www.yanolja.com/guest-house/1000108391?checkinDate=2021-09-10&checkoutDate=2021-09-11&capacityAdult=2&capacityChild=0</a>",010-5765-8881,,,연중무휴,14:00 ~ 익일 11:00,,,가능,,없음,,없음
2745718,28,,,0507-1387-2784,,,연중무휴,- 입실 14:00<br>- 퇴실 11:00,,,가능,,,,
2747957,28,,,화진포 관광안내소 033-680-3677<br>고성군청 관광과 033-680-3352,,,연중무휴,상시 개방,,,,,,,
2748011,28,,,고성군 건설도시과 033-680-3483,,,연중무휴,상시개방,,,,,없음,,없음
2748045,28,,,고성군 건설도시과 033-680-3483,,,연중무휴,00:00~24:00,,,,,없음,,없음
2748069,28,,,고성군청033-680-3483,,,,,,,,,없음,,없음
2748089,28,,,고성군청 관광과 033-680-3677,,,연중무휴,상시 개방,,,,,없음,,없음
2753110,28,,,033-681-0700,,,,- 캠핑 13:00~12:00<br>- 돔 14:00~12:00<br>- 게스트하우스 15:00~12:00,,,가능,,없음,,
2776862,28,,,033-801-0900,,,없음,00:00 ~ 24:00,,,불가,,없음,,없음
2782478,28,상시 개방,,1588-7417,,,연중무휴,,,,가능,,,,
2782486,28,,,1588-7417,,,연중무휴,상시 개방,,,가능,,,,
2782509,28,,,고성군청 신성장체육과 033-680-3062,,,연중무휴,상시 개방,,,가능,,,,
2792202,28,"봄,여름,가을,겨울",온라인 실시간 예약,033-635-3330,,,연중무휴,14:00~익일11:00,,,가능,,없음,,없음
2907911,28,,,,,,연중무휴,- 입실 14:00<br>- 퇴실 11:00,,,가능,,,,
2907961,28,,,010-4640-4704,,,연중무휴,- 입실 14:00<br>- 퇴실 11:00,,,가능,,,,
2907986,28,,,0507-1343-0056,,,연중무휴,14:00~익일 12:00,,,,,,,
2912932,28,,,070-4364-9343,,,연중무휴,입실 15:00 / 퇴실 11:00,,,,,,,
3022829,28,,,010-6391-1508,,,연중무휴,상시 개방,,,가능,,,,
3065391,28,,,033-637-6716,,,연중무휴,07:00~22:00,,,가능,,,,
3082541,28,,,010-9326-8162,,,연중무휴,08:00~18:00,,,있음(소형 100대),무료,,,가능
3445907,28,,,DMZ 평화의 길 테마노선 고객센터 (신청접수 관련 문의) 1588-7417,,회차별 20명 정원,"매주 월요일 / 매주 목요일<br>※ 기상/안보 등 특이상황 발생 시, 갑자기 투어가 취소 되거나 대체 일정으로 운영될 수 있음","10:00 / 14:00<br>※ 최종 방문 확정 인원이 5명 이상인 경우에만 투어 운영 (4명 이하인 경우, 해당 일정 투어 운영 자동 취소)","1인당 10,000원",만 7세 이상 참가 가능 (신분증 지참 / 미성년자에 한해 가족관계증명서로 대체),가능,,,,
762715,28,,,"033-681-5244, 033-680-3164",,,연중무휴,14:00~익일 11:00<br>※ 퇴실시간 (11시) 지키지 않으면 초과 이용료 부과됨,,,"가능 (승용차 1대 기준으로 입장이 가능하며, 추가적인 차량 진입은 불가함)<br>요금 (무료)",,없음,,없음
