contentid,contenttypeid,roomcount,roomtype,refundregulation,checkintime,checkouttime,chkcooking,seminar,sports,sauna,beauty,beverage,karaoke,barbecue,campfire,bicycle,fitness,publicpc,publicbath,subfacility,foodplace,reservationurl,pickup,infocenterlodging,parkinglodging,reservationlodging,scalelodging,accomcountlodging
137477,32,225실,"16평형, 30평형, 32평형",,15:00,11:00,가능,0,0,0,0,0,0,0,0,0,0,0,0,"세미나실, 연회장, 해수사우나, 당구장, 노래방","한식당, 카페, 스낵 코너",,,033-680-7800,주차 가능,02-511-0203,"지하 3층, 지상 10층(연면적 8,630평)",
2574195,32,7,양실,"이용일 10일전 100%, 9일전 90%, 8일전 80%, 7일전 70%, 6일전 60%, 5일전 50%, 4일전 40%, 3일전 30%, 2일전 20%, 1일전 ~ 당일 환불불가",15:00,11:00,가능,0,0,0,0,1,0,1,0,0,0,0,0,,있음,http://www.casadelaya.com/,불가,010-9354-8469,가능,홈페이지,,22
2814151,32,9,양실,"숙박 9일 전까지 100%환불, 숙박 8일 전까지 80%환불, 숙박 7일 전까지 70%환불, 숙박 6일 전까지 60%환불, 숙박 5일 전까지 50%환불, 숙박 4일 전까지 40%환불, 숙박 3일 전까지 30%환불, 숙박 2일 전까지 20%환불, 숙박 1일 전까지 10%환불, 당일 취소 시 환불 불가",15:00,11:00,가능,0,0,0,0,1,0,1,1,0,0,0,0,"루프탑, 비상사다리",있음,"<a href=""https://map.naver.com/p/entry/place/1598361047?c=15.00,0,0,0,dh&placePath=/room"" target=""_blank"" title=""새창 : 스테이가진 예약 페이지로 이동"">https://map.naver.com/</a>",가능,033-631-5455,가능,"가능(033-631-5455, 홈페이지)",건물 지상 3층(대지 면적 495.87m²),28
2902851,32,202실,,,15:00,11:00,,0,0,0,0,0,0,0,0,0,0,0,0,레스토랑 / 카페테리아 / 연회장 / 오락실 등,,,,1833-3159,있음,,,
2902867,32,87실,,,15:00,11:00,,0,0,0,0,0,0,0,0,0,0,0,0,비즈니스 센터 / 그랑블루 / 컨퍼런스룸 / 미팅룸,,,,033-630-7800,있음,,,
2907815,32,34실,,,15:00,11:00,,0,0,0,0,0,0,0,0,0,0,0,0,,,"홈페이지, 전화",,010-6288-5510,있음,,,
2913693,32,,,,15:00,다음날 11:00,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,010-4310-2804,50대,,,
2913805,32,,,,15:00,다음날 11:00,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,010-5598-4466,20대,,,
2941159,32,7실,,,16:00,11:00,"- 채움 1, 2, 3 : 가능<br>- 비움 1, 2, 3, 4 : 불가능",0,0,0,0,0,0,0,0,0,0,0,0,,,"<a href=""https://seorojae.kr//"" title=""새창 : 서로재 홈페이지로 이동"">https://seorojae.kr/</a>",,033-632-7442,가능,,,
2950046,32,19,한실/양실,"숙박예약 대행업체 사이트(여기어때, 야놀자 등) 규정에 따름",15:00,11:00,불가,0,0,0,0,0,0,0,0,0,0,0,0,"루프탑, 세탁실, 산책로",없음,,불가,033-638-2002,가능,가능(033-638-2002),,
3068031,32,4실,자취방 / 가족방 / 친구랑,,15:00,11:00,가능,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0507-1308-8717,가능,,,15명
3082551,32,"38객실, 카라반 15대",,,15:00,11:00,취사가,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,있음,,지하1층 / 지상6층,224명
3465936,32,233실,,,(체크인) 12:00 / (키발급) 15:00,11:00,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1588-4888(소노 통합콜센타),,,,
3466048,32,211실,,,(체크인) 12:00 / (키발급) 15:00,11:00,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1588-4888(소노 통합콜센타),,,,
3513119,32,3실,95 소 / 100 중 / 105 대,,15:00,11:00,가능 (일부 객실),0,0,0,0,0,0,0,0,0,0,0,0,,,,,0507-1380-1433,가능,,,
3533115,32,8,양실,온라인 예약 시 해당 업체의 환불 규정에 따름,15:00,11:00,가능,0,0,0,0,1,0,1,0,1,0,0,0,"루프탑, 수영장, 세탁실, 산책로",있음,http://www.croton.kr/reserve.html?reserve=gd,불가,010-4077-0285,가능(무료),"가능(홈페이지, 네이버예약)",,
