contentid,contenttypeid,seat,kidsfacility,firstmenu,treatmenu,smoking,packing,infocenterfood,scalefood,parkingfood,opendatefood,opentimefood,restdatefood,discountinfofood,chkcreditcardfood,reservationfood,lcnsno
134479,39,,0,한우특수부위,한우특수부위_ 한우등심_ 삼겹살 등,모두 금연석,,033-681-9292,,가능,2003년,12:00~21:00,연중무휴(전화문의),,가능,전화 예약 문의 (033-681-9292),20030403014
2514823,39,,0,코다리 조림,모듬생선조림,모두 금연석,,0507-1303-3843,,가능,,- 11:00~22:00<br>- 준비시간 15:00~17:00<br>- 마지막 주문 21:00,매주 수요일,,,,20010403056
2514832,39,,0,망치·삼숙이 매운탕,모둠회 / 멍게비빔밥 / 회덮밥 등,모두 금연석,,033-631-2584,,불가능,,10:00~21:00 (준비시간 15:00~17:30),연중무휴,,,,20040403050
2568287,39,,0,조식뷔페,,모두 금연석,,033-630-9200,,가능,,07:30~10:00 (입장 마감 09:30),연중무휴,,가능,전화예약: 1666-1243,20160403063
2569453,39,,0,테일라떼,핸드드립커피 / 쑥라떼 / 초코 등,,,0507-1437-8060,,불가,,10:00~18:00,매주 수요일,,가능,,20170403102
2570687,39,,0,삼겹살 / 목살,삼겹살 / 목살 / 돼지갈비 / 막창 / 훈제오리 / 새우 / 바베큐플레이츠,모두 금연석,포장불가,1666-1243,,가능,,17:00~22:00 (마지막 주문 21:00),연중무휴,,가능,1666-1243,20170403060
2657225,39,,0,아메리카노,카페라떼 / 바닐라라떼 / 바닐라스쿱 블루베리라떼 등,,가능,0507-1324-0853,,가능,,11:00~18:00 (마지막 주문 17:30),매주 수요일,,없음,,20190421001
2774685,39,,0,돈까스,치즈돈까스,,,033-682-2084,,불가,,10:30~19:30 (라스트오더 19:00),매주 화요일,,없음,,19790403006
2774690,39,,0,막국수,암돼지 수육보쌈 / 도토리묵무침 / 메밀왕만두 등,,,033-682-4856,,가능,,10:30~19:00 (라스트오더 18:20),,,가능,,19980403071
2774691,39,,0,회랑게랑 set,모둠회 / 물회_ 특물회 / 자연산 스페셜 / 멍게비빔밥 / 성게알 비빔밥 등,,,033-633-8887,,가능,,10:00~21:30 (라스트오더 20:00),연중무휴,,없음,,20030403100
2774693,39,,0,물회,회덮밥 / 우럭매운탕,,,033-681-0094,,가능,,10:30 - 20:30,매주 화요일,,없음,,20120403090
2774695,39,,0,아메리카노,카페라떼 / 바닐라라떼 / 녹차라떼 등,,,010-4664-9274,,가능,,11:00~17:00,매주 월요일,,없음,,20190421032
2782584,39,,0,메밀국수,편육,,불가능,033-632-5422,,가능,,10:00~17:00,매주 화요일~ 수요일,,,,19900403002
2782917,39,,0,피스타치오베라,에스프레소 / 플랫화이트 / 바닐라라떼 등,,,0507-1405-0046,,가능,,10:00~22:00 (마지막 주문 21:30),연중무휴,,,,20160403037
