addr1,addr2,zipcode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,eventstartdate,eventenddate,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,areacode,sigungucode,tel,title,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,progresstype,festivaltype
서울특별시 송파구 양재대로 932 (가락동),가락몰 3층 하늘공원,5699,A02,A0207,A02070200,3113671,15,2.02404E+13,20250509,20250511,http://tong.visitkorea.or.kr/cms/resource/91/3484791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3484791_image3_1.jpg,Type3,127.1107693,37.4960787,6,2.02504E+13,1,18,02-3435-0286,가락몰 빵축제 전국빵지자랑,11,710,EV,EV01,EV010600,,
경상남도 김해시 분성로261번길 35 (봉황동),김해민속박물관,50918,A02,A0207,A02070200,694576,15,2.00902E+13,20250410,20250413,http://tong.visitkorea.or.kr/cms/resource/23/3482523_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3482523_image3_1.jpg,Type3,128.8759611,35.23506615,6,2.02503E+13,36,4,055-330-6840,가야문화축제,48,250,EV,EV01,EV010200,선택안함,선택안함
제주특별자치도 서귀포시 대정읍,가파로 67번길 가파도 일원,63514,A02,A0207,A02070200,712175,15,2.00903E+13,20250404,20250506,http://tong.visitkorea.or.kr/cms/resource/21/3484921_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/3484921_image3_1.JPG,Type3,126.2717385,33.17017669,6,2.02504E+13,39,3,064-764-7130,가파도청보리축제,50,130,EV,EV01,EV010200,선택안함,선택안함
경기도 가평군 설악면 유명로 1209,,12469,A02,A0207,A02070200,3503909,15,2.02507E+13,20250627,20251031,http://tong.visitkorea.or.kr/cms/resource/87/3503887_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3503887_image3_1.jpg,Type3,127.4739043,37.64388481,6,2.02507E+13,31,1,031-585-1155,가평 양떼목장 수국축제,41,820,EV,EV01,EV010500,,
경기도 가평군 설악면 유명로 1209,가평양떼목장,12469,A02,A0207,A02070200,3495989,15,2.02506E+13,20250525,20250619,http://tong.visitkorea.or.kr/cms/resource/69/3495969_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3495969_image3_1.jpg,Type3,127.4739043,37.64388481,6,2.02506E+13,31,1,031-585-1155,가평 양떼목장 유채꽃축제,41,820,EV,EV01,EV010500,,
경기도 가평군 가평읍 자라섬로 60,,12421,A02,A0207,A02070200,3490945,15,2.02505E+13,20250607,20250607,http://tong.visitkorea.or.kr/cms/resource/17/3493917_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/3493917_image3_1.jpg,Type3,127.5208754,37.82092343,6,2.02505E+13,31,1,070-8233-0333,가평군 반려동물 문화행사 활짝펫,41,820,EV,EV01,EV010600,,
경상남도 거창군 신원면 연수사길 452,거창 별바람언덕,50153,A02,A0207,A02070200,2746930,15,2.02109E+13,20250919,20251012,http://tong.visitkorea.or.kr/cms/resource/19/3539719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3539719_image3_1.jpg,Type3,127.9175273,35.58966442,6,2.02509E+13,36,2,055-940-8227,감악산 꽃별 여행,48,880,EV,EV01,EV010500,선택안함,선택안함
경상남도 거창군 신원면 덕산리,산57 감악산 정상,50153,A02,A0207,A02070200,1506389,15,2.01112E+13,20250101,20250101,http://tong.visitkorea.or.kr/cms/resource/28/3443128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3443128_image3_1.jpg,Type3,127.9164357,35.59130866,6,2.02412E+13,36,2,055-940-3424,감악산 해맞이 행사,48,880,EV,EV01,EV010200,선택안함,선택안함
충청남도 논산시 강경읍 금백로 45,강경읍 금강 둔치 일원,32930,A02,A0207,A02070200,506376,15,2.00803E+13,20251023,20251026,http://tong.visitkorea.or.kr/cms/resource/99/3538099_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3538099_image3_1.jpg,Type3,127.0098123,36.15759775,6,2.02509E+13,34,3,041-730-2928,강경젓갈축제,44,230,EV,EV01,EV010300,선택안함,선택안함
서울특별시 강남구 도산대로45길 20 (신사동),도산공원,6020,A02,A0207,A02070200,3541003,15,2.02509E+13,20250919,20250919,http://tong.visitkorea.or.kr/cms/resource/97/3540997_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3540997_image3_1.jpg,Type3,127.035617,37.52400466,6,2.02509E+13,1,1,010-9771-2090,강남청년축제,11,680,EV,EV01,EV010600,,
