addr1,addr2,areacode,sigungucode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
강원특별자치도 고성군 죽왕면 삼포민박촌길 8-15,,32,2,B02,B0201,B02010700,3068031,32,2.02312E+13,http://tong.visitkorea.or.kr/cms/resource/30/3068030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3068030_image3_1.jpg,Type3,128.5290797,38.31611265,6,2.02509E+13,,공방스테이,24750,51,820,AC,AC03,AC030100
강원특별자치도 고성군 현내면 금강산로 416,,32,2,B02,B0201,B02010500,137477,32,2.00309E+13,http://tong.visitkorea.or.kr/cms/resource/87/1335487_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1335487_image3_1.jpg,Type3,128.4193669,38.51082945,6,2.02406E+13,033-680-7800,금강산콘도,24702,51,820,AC,AC02,AC020100
강원특별자치도 고성군 토성면 아야진해변길 19,,32,2,B02,B0201,B02010700,2574195,32,2.01812E+13,http://tong.visitkorea.or.kr/cms/resource/51/2573551_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/51/2573551_image2_1.PNG,Type3,128.5559176,38.26837429,,2.02411E+13,010-9354-8469,까사델아야,24758,51,820,AC,AC03,AC030100
강원특별자치도 고성군 토성면 미시령옛길 1153,,32,2,B02,B0201,B02010500,3465936,32,2.02501E+13,,,,128.4973943,38.20752469,6,2.02504E+13,033-639-8317,델피노 소노캄,24768,51,820,AC,AC02,AC020100
강원특별자치도 고성군 잼버리동로 583-20,,32,2,B02,B0201,B02010500,2902851,32,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/42/2902842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2902842_image3_1.jpg,Type3,128.5681619,38.23893351,6,2.02407E+13,,레이크오션,24766,51,820,AC,AC02,AC020100
강원특별자치도 고성군 심층수길 96,,32,2,B02,B0201,B02010100,2902867,32,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/54/2902854_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2902854_image3_1.jpg,Type3,128.5270043,38.33225239,6,2.02501E+13,,르네블루바이워커힐,24747,51,820,AC,AC01,AC010100
강원특별자치도 고성군 토성면 봉포2길 12,,32,2,B02,B0201,B02010700,3513119,32,2.02507E+13,http://tong.visitkorea.or.kr/cms/resource/92/3513092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3513092_image3_1.jpg,Type3,128.56582,38.25140702,6,2.02507E+13,,삼박한집,24765,51,820,AC,AC03,AC030100
강원특별자치도 고성군 봉수대길 118,,32,2,B02,B0201,B02010700,2941159,32,2.02301E+13,http://tong.visitkorea.or.kr/cms/resource/11/2941111_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2941111_image3_1.jpg,Type3,128.5181279,38.31620687,6,2.02504E+13,,서로재,24750,51,820,AC,AC03,AC030100
강원특별자치도 고성군 동해대로 4838 선샤인비치,,32,2,B02,B0201,B02010700,2907815,32,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/06/2907806_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/06/2907806_image3_1.jpeg,Type3,128.5692755,38.24456621,6,2.02407E+13,,선샤인비치,24765,51,820,AC,AC03,AC030100
강원특별자치도 고성군 죽왕면 순포로 188,,32,2,A02,A0202,A02020200,951363,12,2.01002E+13,http://tong.visitkorea.or.kr/cms/resource/17/1335517_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1335517_image3_1.jpg,Type3,128.5116035,38.31619008,6,2.02503E+13,033-630-5362,설악썬밸리골프리조트,24750,51,820,VE,VE05,VE050200
